AgmtID,Unique,C1_Region,C1_LDC,C2_OECD,C2_G20,C2_BEPS,C1,C2,Signedyear,Effectiveyear,Type,Ratified,Terminated,5i,5ii,5iii,5iv,5v,5vi,5vii,5viii,7i,7ii,8i,10i,10ii,10iii,11i,12i,12ii,12iii,12iv,13i,13ii,16i,18i,18ii,21i,27i,source.country,destination.country
1699,1,Asia,FALSE,TRUE,FALSE,TRUE,Pakistan,Czech Republic,2014,2016,New treaty,Yes,No,6,YES,6,NO,NO,YES,YES,YES,YES,YES,NO,5,25,15,10,10,YES,YES,10,NO,YES,NO,NO,NO,YES,No,PAK,CZE
3333,1,Africa,FALSE,FALSE,TRUE,TRUE,Kenya,South Africa,2010,2016,New treaty,Yes,No,6,YES,6,NO,NO,YES,YES,YES,YES,YES,YES,10,"NA",10,10,10,YES,NO,"NA",YES,NO,NO,YES,YES,YES,Yes,KEN,ZAF
4293,1,Asia,FALSE,FALSE,FALSE,FALSE,Philippines,Qatar,2008,2016,New treaty,Yes,No,3,YES,3,NO,NO,YES,NO,NO,YES,NO,YES,10,10,15,10,15,YES,YES,"NA",YES,NO,NO,NO,YES,YES,No,PHL,QAT
4794,1,Africa,TRUE,TRUE,TRUE,TRUE,Zambia,United Kingdom,2014,2016,Renegotiation,Yes,No,6,YES,6,YES,YES,NO,NO,YES,NO,YES,NO,5,"NA",5,10,5,NO,NO,"NA",YES,NO,NO,NO,YES,NO,Yes,ZMB,GBR
575,1,Asia,FALSE,FALSE,FALSE,FALSE,Sri Lanka,Bahrain,2011,2015,New treaty,Yes,No,6,YES,6,NO,NO,YES,YES,YES,YES,YES,YES,7.5,"NA",10,10,10,YES,YES,10,NO,NO,YES,YES,YES,YES,No,LKA,BHR
732,1,Asia,FALSE,FALSE,FALSE,FALSE,Sri Lanka,Belarus,2013,2015,New treaty,Yes,No,6,YES,6,NO,YES,YES,YES,YES,NO,YES,YES,7.5,25,10,10,10,YES,YES,"NA",YES,NO,NO,YES,YES,YES,No,LKA,BLR
937,1,Asia,TRUE,FALSE,TRUE,TRUE,Bhutan,India,2013,2015,New treaty,Yes,No,4,YES,4,NO,NO,YES,YES,YES,NO,YES,NO,10,"NA",10,10,10,YES,YES,10,YES,YES,NO,YES,YES,YES,Yes,BTN,IND
1477,1,Africa,FALSE,TRUE,TRUE,TRUE,Congo (Rep.),Italy,2003,2015,New treaty,Yes,No,6,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,8,10,15,0,10,NO,YES,"NA",YES,YES,NO,NO,YES,NO,Yes,COG,ITA
1478,1,Africa,FALSE,FALSE,FALSE,FALSE,Congo (Rep.),Mauritius,2010,2015,New treaty,Yes,No,12,YES,12,YES,YES,NO,NO,NO,NO,YES,NO,0,25,5,5,0,YES,NO,"NA",NO,NO,NO,NO,YES,NO,Yes,COG,MUS
2871,1,Asia,FALSE,FALSE,TRUE,TRUE,Papua New Guinea,Indonesia,2010,2015,Renegotiation,Yes,No,4,YES,4,NO,NO,YES,NO,YES,YES,YES,NO,15,"NA",15,10,10,YES,YES,10,NO,NO,NO,NO,NO,YES,No,PNG,IDN
3344,1,Asia,TRUE,FALSE,FALSE,FALSE,Kiribati,Taiwan,2014,2015,New treaty,Yes,No,6,YES,6,YES,YES,NO,NO,NO,NO,NO,NO,10,"NA",10,10,10,YES,NO,"NA",YES,NO,NO,NO,NO,NO,No,KIR,TWN
3500,1,Asia,TRUE,TRUE,FALSE,TRUE,Laos,Luxembourg,2012,2015,New treaty,Yes,No,6,YES,6,YES,YES,NO,YES,YES,NO,NO,NO,5,10,15,10,5,YES,NO,"NA",NO,NO,NO,YES,YES,YES,No,LAO,LUX
3663,1,Asia,FALSE,TRUE,FALSE,TRUE,Sri Lanka,Luxembourg,2013,2015,New treaty,Yes,No,6,YES,6,NO,NO,YES,YES,YES,NO,YES,YES,7.5,25,10,10,10,YES,NO,"NA",YES,NO,NO,YES,YES,NO,No,LKA,LUX
4107,1,Asia,FALSE,TRUE,FALSE,TRUE,Papua New Guinea,New Zealand,2012,2015,New treaty,Yes,No,3,YES,6,YES,YES,YES,NO,YES,YES,NO,NO,15,"NA",15,10,10,YES,YES,"NA",YES,YES,NO,NO,NO,YES,No,PNG,NZL
4134,1,Asia,FALSE,TRUE,FALSE,TRUE,Vietnam,New Zealand,2013,2015,New treaty,Yes,No,6,YES,6,NO,NO,YES,NO,YES,YES,YES,NO,5,50,15,10,10,YES,YES,"NA",YES,YES,NO,NO,NO,YES,No,VNM,NZL
4142,1,Africa,FALSE,TRUE,FALSE,TRUE,Nigeria,Spain,2009,2015,New treaty,Yes,No,6,YES,6,YES,YES,NO,NO,YES,YES,NO,NO,7.5,10,10,7.5,7.5,NO,YES,"NA",YES,NO,NO,NO,NO,NO,Yes,NGA,ESP
1163,1,Africa,TRUE,FALSE,FALSE,FALSE,Burkina Faso,Tunisia,2003,2014,New treaty,Yes,No,9,NO,NO,YES,YES,YES,YES,YES,NO,YES,NO,8,"NA",8,5,5,YES,YES,"NA",NO,NO,NO,NO,NO,NO,No,BFA,TUN
2811,1,Asia,FALSE,FALSE,TRUE,TRUE,Sri Lanka,India,2013,2014,Renegotiation,Yes,No,6,YES,3,NO,NO,YES,YES,YES,NO,YES,YES,7.5,"NA",7.5,10,10,YES,YES,10,YES,YES,NO,NO,NO,YES,Yes,LKA,IND
3439,1,Asia,FALSE,FALSE,FALSE,FALSE,Philippines,Kuwait,2009,2014,New treaty,Yes,No,3,YES,3,YES,YES,YES,NO,YES,NO,NO,YES,10,10,15,10,20,YES,YES,"NA",NO,NO,NO,NO,NO,NO,No,PHL,KWT
